pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt,habitability_score
GJ 3473 b,GJ 3473,0.001318914002749,0.0410778577252486,0.0019586415040586,0.0002858899897364,0.1569333676357087,0.9655418140741536
GJ 357 b,GJ 357,0.0002765935426153,0.0390545300024581,0.0062120095884404,0.0002826956881751,0.0931309493182402,0.9755060069423859
GJ 367 b,GJ 367,0.0128913437267976,0.0167548755257459,0.0,8.991958895063604e-05,0.3092359145870851,0.9455405068946713
GJ 3929 b,GJ 3929,0.0003812710247228,0.0335872401983221,0.0040307951861933,0.0002683213311493,0.1041934653974787,0.9754030450485316
GJ 486 b,GJ 486,0.0008935225329082,0.0428428882919382,0.0022813722064319,0.0004392164646789,0.1384100848983792,0.9679437279188071
GJ 806 b,GJ 806,0.0028913034148311,0.0439621759683755,0.0015513331003736,0.000292278592859,0.1998970928736815,0.9579439120237953
GJ 9827 b,GJ 9827,0.0070115872850177,0.0564034889872362,0.0026241344696421,0.0005350455115179,0.25958322613841,0.9444887450976562
GJ 9827 c,GJ 9827,0.0015995387420158,0.0412931053553327,0.0071957817984335,0.0003753304334529,0.166709544635966,0.9633957860766332
GJ 9827 d,GJ 9827,0.0007732547875081,0.071901318353291,0.010218321755833,0.0004711594802919,0.1317211216876768,0.9609184616506316
GPX-1 b,GPX-1,0.1035598606756076,0.6959989770950464,0.0059449221106142,1.0,0.5497813223565732,0.5118706069590088
Gliese 12 b,Gliese 12,3.160369087456677e-05,0.0254078302551265,0.0133343423304717,0.0015859707251861,0.039104708001029,0.9861222267507174
HAT-P-19 b,HAT-P-19,0.0034258267277202,0.4730648937462124,0.0086580857395318,0.014049890852074,0.2104965268844867,0.8454557627680899
HAT-P-25 b,HAT-P-25,0.0072343053320549,0.534348582474054,0.0087938552074268,0.0288725363602846,0.2621559042963725,0.8182652843446145
HAT-P-29 b,HAT-P-29,0.0096396602400557,0.5000880907383548,0.0132230558813775,0.0389234605260462,0.2850527399022382,0.8202211705647119
HAT-P-32 b,HAT-P-32,0.0409983612628817,0.9420966883425866,0.0059827595033063,0.0345071453623024,0.4303318754823771,0.6801268331903413
HAT-P-36 b,HAT-P-36,0.0405529251688074,0.6414729369152543,0.0037681591663309,0.097706138222773,0.4263442243375354,0.7435962110087263
HAT-P-51 b,HAT-P-51,0.0069002282614992,0.5681255307406555,0.0096440836785068,0.0155727505171331,0.2586056084383843,0.8130287490993514
HAT-P-55 b,HAT-P-55,0.0129804309456124,0.6255479464748214,0.0087226318800065,0.0302429652900564,0.3097504502186776,0.7863354603187974
HAT-P-58 b,HAT-P-58,0.0255194569938021,0.6294082766838773,0.0095372486873763,0.0188722797906292,0.3753537432467198,0.7739608514170186
HAT-P-59 b,HAT-P-59,0.0098267433995669,0.5285571439453549,0.0096930497161082,0.0781622827509017,0.2868021610496526,0.8052906053145521
HAT-P-60 b,HAT-P-60,0.0363880976892133,0.7736881272877468,0.0123928589711345,0.0291262015363186,0.4139439156161564,0.7265054253244988
HAT-P-61 b,HAT-P-61,0.0189158668991516,0.420467891203862,0.0051214023873169,0.0536442421436101,0.3452534087985593,0.8261792671420514
HAT-P-62 b,HAT-P-62,0.0193100778424073,0.5044300784167738,0.0068174078715131,0.03861869344868,0.347054283509133,0.8076358350398272
HAT-P-63 b,HAT-P-63,0.0086240659455665,0.5266269784103317,0.0079792384000569,0.0311566810897307,0.2763056341651659,0.8172809304310205
HAT-P-64 b,HAT-P-64,0.035875846181028,0.8084311013217274,0.010411960177257,0.029430773469011,0.4124003087213789,0.7183420737955251
HAT-P-65 b,HAT-P-65,0.0405529251688074,0.7640373013346115,0.007418354696622,0.0281109617596126,0.4257782351427836,0.7265940340227026
HAT-P-68 b,HAT-P-68,0.0041117983125945,0.503948427835335,0.0050902421815705,0.036740684065805,0.2224852071005917,0.831549411450981
HAT-P-9 b,HAT-P-9,0.0207310189825041,0.6588444538516651,0.0101893872790685,0.0380097401473406,0.3542577823514278,0.7673100267322434
HATS-17 b,HATS-17,0.0016151290053084,0.3615984973841905,0.0275344932348967,0.0679087014283182,0.1674813480833547,0.8676584451307033
HATS-18 b,HATS-18,0.0665886648674463,0.6318220941728039,0.0023414668889428,0.1004980616021512,0.4880370465654746,0.7285285610024195
HATS-36 b,HATS-36,0.0124904512421308,0.5826027961863064,0.0104965378785686,0.163240194273269,0.3069205042449189,0.7708663973015357
HATS-37 A b,HATS-37 A,0.0051118023437911,0.2790837919362389,0.0093569646398436,0.0050142820274162,0.2372009261641368,0.8911768195187149
HATS-38 b,HATS-38,0.0103456764491634,0.2829441290332191,0.0096307293046154,0.0037452259458806,0.2909698996655518,0.8808026617374758
HATS-47 b,HATS-47,0.0019498742300052,0.5256628240058486,0.0079235951755098,0.0187200877080002,0.1774890661178286,0.8368395947527111
HATS-48 A b,HATS-48 A,0.0030605691305793,0.3726969665380085,0.0068107306845674,0.012324045057061,0.2036532029843066,0.8722137250988093
HATS-49 b,HATS-49,0.0017877354917622,0.3558079917387202,0.0084711245050535,0.0179078918158174,0.1728325186519166,0.8801581128063349
HATS-59 b,HATS-59,0.005987084268647,0.5300057032399513,0.0120256136891235,0.0409031880132416,0.2482634422433753,0.8190797336013511
HATS-60 b,HATS-60,0.0201274530750335,0.5430343409422596,0.0089006901985572,0.0335934249835968,0.3511705685618729,0.7979188395410691
HATS-61 b,HATS-61,0.0083300781234775,0.5633011107014054,0.0160230229405886,0.1725804470333707,0.2735014149729868,0.7795320949409243
HATS-62 b,HATS-62,0.0086240659455665,0.4957452115042521,0.00768766790343,0.00907526148833,0.2763056341651659,0.8294468131274831
HATS-63 b,HATS-63,0.0141185201659721,0.5690916163468758,0.0073827430329118,0.0487205734755006,0.3178029328531001,0.795338710937133
HATS-64 b,HATS-64,0.0381030266513991,0.7968515050687071,0.0130271917309716,0.0487205734755006,0.4193465397478775,0.7154074009070246
HATS-65 b,HATS-65,0.0262321547443209,0.7109590046608977,0.0084310613833795,0.041664621662163,0.3784409570362748,0.7484484283852675
HATS-66 b,HATS-66,0.0587267178070361,0.6675302123198706,0.0089140445724485,0.2705515765279153,0.4720864419861075,0.6896847455171776
HATS-67 b,HATS-67,0.0850965345762306,0.7997467578914421,0.0051703684249183,0.0735940726735975,0.5222536660663751,0.6809604488671027
HATS-68 b,HATS-68,0.0338713837576939,0.5811551697749389,0.0097086298189814,0.0654721137517699,0.4059686133264729,0.7695892146977341
HATS-69 b,HATS-69,0.0103879928781004,0.4426655764207745,0.0055687739126757,0.029278634306376,0.2914072549524055,0.8360935155359727
HATS-70 b,HATS-70,0.2028921096541613,0.6545015746175625,0.0065058058140492,0.6548217580168808,0.6604064831489581,0.5448310687922362
HATS-72 b,HATS-72,0.0011002048805586,0.3352516966973007,0.0132268396206467,0.0063544052495177,0.1482634422433753,0.8910239330130327
HATS-74 A b,HATS-74 A,0.0023768247261753,0.4846458848038759,0.003728096044657,0.0741013236440774,0.1883457679444301,0.8346805418562326
HATS-75 b,HATS-75,0.0013157959500905,0.4132297716313867,0.0057094399843308,0.0249129564631482,0.1567532801646514,0.8672312909913659
HATS-76 b,HATS-76,0.0028868490538903,0.507325326504061,0.0043379457856934,0.1334420885920672,0.1998456393105222,0.8152035554642566
HATS-77 b,HATS-77,0.0017414101379785,0.548823878834385,0.0064501625895021,0.0697357926045608,0.171160277849241,0.8220053907927617
HD 110113 b,HD 110113,0.0163766584448814,0.0749147851744683,0.0062120095884404,0.0007155235497315,0.3107795214818626,0.9289770722818488
HD 118203 b,HD 118203,0.016817862896062,0.5348301809655662,0.014160087782751,0.1099392877614817,0.3424234628248006,0.7864797101354983
HD 135694 b,HD 135694,0.0016374008100121,0.094717567142205,0.0251307059344611,0.0008991958895063,0.167738615899151,0.9479756858152251
HD 136352 b,HD 136352,0.0024815022082828,0.0582976681319762,0.019877985537213,0.0007426751130025,0.1908927193208129,0.9539108908300773
