pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
HD 73583 c,HD 73583,10.2,2.39,0.1242,9.7,498.0
HD 73583 c,HD 73583,11.76,2.73,0.1233,22.5,517.8
HD 80653 b,HD 80653,6130.0,1.613,0.01661,5.72,2463.0
HD 93963 A b,HD 93963 A,2898.0,1.35,0.02085,7.8,2042.0
HD 93963 A c,HD 93963 A,543.8,3.228,0.04813,19.2,1344.0
HD 95338 b,HD 95338,7.42,3.89,0.262,42.44,385.0
HIP 116454 b,HIP 116454,51.2858,2.469,0.0792,9.7,753.2
HIP 116454 b,HIP 116454,51.4,2.53,0.07765,10.1,745.0
HIP 29442 c,HD 42813,373.0,1.58,0.0436,4.5,1217.0
HIP 29442 c,HD 42813,451.0,1.551,0.04518,4.5,1123.0
HIP 29442 d,HD 42813,203.0,1.538,0.0673,5.14,920.0
HIP 29442 d,HD 42813,167.0,1.37,0.0649,5.1,998.0
HIP 65 A b,HIP 65 A,661.0,22.75427,0.01782,1021.18779,1411.0
HIP 8152 b,HIP 8152,88.9,2.56,0.092,7.8,855.0
HIP 8152 c,HIP 8152,39.9,2.48,0.138,9.4,699.0
HIP 9618 b,HIP 9618,36.8,3.75,0.144,8.4,685.0
HIP 9618 b,HIP 9618,40.3,3.9,0.1438,10.0,663.4
HIP 9618 c,HIP 9618,11.7,3.343,0.2669,18.3,486.9
HIP 9618 c,HIP 9618,10.7,3.34,0.268,7.9,503.0
K2-100 b,K2-100,1915.0,3.88,0.0301,21.8,1841.0
K2-108 b,K2-108,762.0,5.28,0.0573,59.4,1446.0
K2-110 b,K2-110,27.7,2.592,0.10207,15.9,638.0
K2-111 b,K2-111,490.0,1.82,0.0565,5.58,1309.0
K2-114 b,K2-114,40.0,10.44677001,0.0943,638.83509807,701.0
K2-12 b,K2-12,185.0,2.44,0.0792,5.2,1026.0
K2-131 b,K2-131,4070.0,1.69,0.00936,7.9,2223.0
K2-136 b,K2-136,33.5,1.014,0.0707,4.3,610.0
K2-136 c,K2-136,11.91,3.0,0.1185,18.1,470.0
K2-136 d,K2-136,7.07,1.565,0.1538,3.0,420.0
K2-140 b,K2-140,204.0,13.56286665,0.068,295.58041851,962.0
K2-140 b,K2-140,188.5,12.273855,0.0591,323.86877,1114.0
K2-141 b,K2-141,3260.0,1.51,0.00747,4.97,2103.0
K2-141 c,K2-141,39.1,7.0,0.0683,8.0,695.0
K2-157 b,K2-157,6660.0,0.935,0.00962,1.14,2432.0
K2-167 b,K2-167,317.0,2.3,0.091,6.5,1174.0
K2-18 b,K2-18,1.005,2.61,0.1591,8.63,254.9
K2-180 b,K2-180,67.0,2.24179614,0.075,11.44182265,729.0
K2-182 b,K2-182,146.9,2.69,0.0526,20.0,969.0
K2-199 b,K2-199,116.2,1.73,0.0382,6.9,913.0
K2-199 c,K2-199,38.6,2.85,0.0662,12.4,694.0
K2-216 b,K2-216,248.0,1.75,0.028,8.0,1103.0
K2-222 b,K2-222,96.0,2.35,0.1206,8.7,871.0
K2-233 b,K2-233,269.0,1.315,0.03293,2.4,1127.0
K2-233 c,K2-233,66.2,1.272,0.0664,4.6,794.0
K2-233 d,K2-233,12.7,2.363,0.1516,10.3,525.0
K2-237 b,K2-237,1860.0,16.19697711,0.03558,433.20011874,1828.0
K2-24 b,K2-24,60.0,5.68,0.154,21.0,767.0
K2-24 c,K2-24,24.0,7.82,0.247,27.0,606.0
K2-25 b,K2-25,9.91,3.44,0.0287,24.5,494.0
K2-261 b,K2-261,180.0,9.52763359,0.1034,59.75174052,1046.0
K2-261 b,K2-261,180.0,9.50521563,0.1087,67.69745069,1030.0
K2-263 b,K2-263,8.17,2.41,0.2573,14.9,470.0
K2-266 d,K2-266,13.95,2.93,0.1035,8.9,538.3
K2-266 e,K2-266,9.581,2.73,0.1249,14.3,490.1
K2-27 b,K2-27,116.0,4.48,0.06702,30.9,902.0
K2-285 b,K2-285,234.31,2.59,0.03817,9.68,1088.9
K2-285 c,K2-285,50.35,3.53,0.0824,15.68,741.4
K2-285 d,K2-285,24.61,2.48,0.1178,6.5,619.9
K2-285 e,K2-285,10.5,1.95,0.18041,10.7,500.9
K2-292 b,K2-292,67.0,2.63,0.13,24.5,795.0
K2-3 b,K2-3,10.5,2.078,0.0747,5.11,501.3
K2-3 b,K2-3,11.6,2.25,0.0778,6.47,513.0
K2-3 c,K2-3,3.51,1.69,0.1414,3.3,381.0
K2-3 c,K2-3,3.17,1.582,0.1357,2.68,371.8
K2-3 d,K2-3,1.44,1.458,0.2014,2.2,305.2
K2-3 d,K2-3,1.6,1.62,0.2097,1.6,312.0
K2-32 b,K2-32,77.7,5.13,0.08036,16.5,817.0
K2-32 c,K2-32,25.6,3.01,0.1399,12.1,619.0
K2-32 d,K2-32,14.5,3.43,0.1862,10.3,537.0
K2-329 b,K2-329,45.7,8.675766,0.1016,82.6358,650.0
K2-36 b,K2-36,529.0,1.43,0.0223,3.9,1224.0
K2-36 b,K2-36,519.0,1.43,0.02288,4.3,1328.0
K2-36 c,K2-36,90.0,3.2,0.054,7.8,788.0
K2-36 c,K2-36,89.0,3.2,0.05528,7.9,854.0
K2-38 b,K2-38,490.0,1.655,0.0503,7.7,1310.0
K2-38 b,K2-38,426.0,1.54,0.04994,7.3,1266.0
K2-38 b,K2-38,465.9,1.55,0.0506,12.0,1184.0
K2-38 c,K2-38,135.3,2.49,0.0959,7.4,949.0
K2-38 c,K2-38,128.3,2.42,0.0964,9.9,858.0
K2-38 c,K2-38,117.0,2.29,0.09514,8.3,916.0
K2-39 b,K2-39,1356.0,5.71,0.0574,39.8,1670.0
K2-415 b,K2-415,4.82,1.015,0.027,7.5,412.4
K2-419 A b,K2-419 A,3.3,10.55,0.1208,196.0,377.0
K2-66 b,K2-66,840.0,2.49,0.05983,21.3,1372.0
K2-79 b,K2-79,181.0,4.09,0.0988,9.2,1022.0
KELT-10 b,KELT-10,600.0,15.681391,0.0525,215.80657,1377.0
KELT-11 b,KELT-11,1433.0,15.35633,0.06229,61.97685,1712.0
KELT-12 b,KELT-12,1749.0,19.95202,0.06708,301.9385,1800.0
KELT-18 b,KELT-18,3152.0,17.59813,0.0455,375.0394,2085.0
KELT-19 A b,KELT-19 A,2340.0,21.40919,0.0637,1293.5681,1935.0
KELT-20 b,KELT-20,4362.5,19.514869,0.0542,1074.90106,2262.0
KELT-21 b,KELT-21,2950.0,17.777474,0.05224,1242.7153,2051.0
KELT-23 A b,KELT-23 A,991.183,14.829507,0.03302,298.12454,1561.0
KELT-24 b,KELT-24,750.9,14.257848,0.06969,1646.3594,1459.0
KELT-24 b,KELT-24,624.0,12.71098411,0.0665,1458.83238813,1391.0
KELT-4 A b,KELT-4 A,1840.0,19.044091,0.04317,286.68266,1823.0
KELT-9 b,KELT-9,44900.0,21.196219,0.03462,915.3504,4050.0
KOI-134 b,KOI-134,45.0,12.03844527,0.363,346.43296363,659.0
KOI-4777.01,KOI-4777,320.0,0.51,0.008,99.2,1180.0
