pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
5.95,5.45,0.6639,38.0,1.7019607843137254
1073.0,1.536,0.04544,3.8,6.243137254901961
602.0,1.597,0.06064,10.0,5.403921568627451
315.0,0.86,0.08377,7.7,4.6
138.7,2.903,0.12638,14.1,3.7450980392156863
442.0,2.49,0.0701,4.9,5.003921568627451
91.0,2.65,0.1546,8.2,3.368627450980392
2.48,7.0840758,0.751,222.4798849,1.3811764705882352
9.9,0.64,0.0753,0.07,1.772549019607843
6.8,1.51,0.0913,2.3,1.607843137254902
3.4,1.51,0.1288,2.1,1.3529411764705883
3.23,12.419572,0.753,1678.1424,1.5211764705882351
0.3,9.180171,2.026,158.915,0.807843137254902
129.1,2.213,0.1029,5.4,3.6784313725490194
0.88,3.87,0.633,17.0,0.9529411764705882
0.342,11.94877343,2.027,1322.16617312,0.9952941176470589
475.0,0.853,0.0758,2.4,5.094117647058823
87.6,2.209,0.0846,6.1,3.3372549019607844
331.0,1.773,0.04565,9.7,4.654901960784314
78.7,2.894,0.0936,11.1,3.2470588235294118
5.71,2.606,0.3474,13.4,1.6862745098039216
169.8,0.821,0.0637,0.76,3.937254901960784
35.9,0.952,0.1387,1.4,2.6705882352941175
2749.0,1.639,0.0434,7.5,7.901960784313726
1.013,2.1,0.812,9.1,1.0941176470588236
110.0,3.955,0.202,56.0,2.2980392156862743
54.3,3.268,0.287,34.9,1.9294117647058824
1900.0,1.381,0.02778,3.9,7.207843137254902
700.0,1.57,0.0458,6.8,5.6117647058823525
44.5,0.3098,0.1019,0.79,2.815686274509804
23.9,0.755,0.139,1.3,2.411764705882353
10.39,2.03,0.2109,2.0,1.9568627450980391
690.0,2.5,0.083,1100.0,3.6470588235294117
179.0,2.88,0.164,450.0,2.596078431372549
6.15,1.199,0.3192,6.0,1.7176470588235293
117.7,2.37,0.09528,5.4,3.592156862745098
2.99,2.215,0.4669,10.6,1.4901960784313726
5.07,2.215,0.3554,12.9,1.6352941176470588
235.0,4.74139884,0.04766,116.00736855,4.270588235294118
0.589,11.57887706,0.898,2129.4503269,0.984313725490196
441.0,2.357,0.06135,8.03,5.0
204.0,0.979,0.09008,1.3,4.125490196078432
4070.0,1.201,0.00901,1.68,8.717647058823529
2.86,8.08167508,1.137,298.75870258,1.4223529411764706
275.0,1.478,0.05343,4.66,4.443137254901961
24.5,0.837,0.0223,0.46,2.4313725490196076
24.7,0.85,0.02191,0.4,2.458823529411765
12.8,1.385,0.0304,2.22,2.168627450980392
12.7,1.329,0.0309,2.0,2.062745098039216
5.01,1.521,0.0486,1.94,1.6313725490196078
4.97,1.627,0.0494,1.64,1.6313725490196078
0.46,1.43,0.0875,6.65,0.9019607843137255
0.43,1.73,0.0946,5.6,0.8862745098039215
0.503,1.727,0.0936,6.98,0.9215686274509803
5.3,1.272,0.027,1.91,1.6549019607843136
6.16,1.282,0.02675,1.81,1.7176470588235293
2.637,2.438,0.02961,7.1,1.2721568627450979
5.83,1.032,0.01992,0.9,1.5509803921568628
4.09,1.32,0.01875,13.2,1.5529411764705883
0.906,1.367,0.03984,25.3,1.0666666666666667
5.4,1.305,0.03813,2.87,1.6627450980392158
5.7,1.34,0.0381,2.73,1.6901960784313725
11.7,1.07,0.02659,1.37,2.023529411764706
10.9,1.147,0.02661,1.54,1.992156862745098
116.0,1.35,0.01203,2.34,3.9215686274509802
106.0,1.332,0.01211,2.62,3.4980392156862745
111.0,1.325,0.01195,2.46,3.541176470588235
2.76,2.39,0.0757,8.04,1.407843137254902
2.88,2.42,0.0762,6.29,1.5568627450980392
2.63,2.3,0.07673,8.6,1.384313725490196
65.3,14.90797,0.0326,258.07796,3.0980392156862746
416.0,11.747032,0.0757,66.10864,4.929411764705883
1096.0,12.800678,0.0549,1538.2972,6.294117647058823
425.0,12.32987877,0.0441,238.68913366,4.4941176470588236
480.0,14.57167491,0.0523,211.99154747,4.6156862745098035
1160.0,13.89913607,0.0391,242.82090295,5.713725490196079
845.0,13.56286665,0.0448,129.99181846,5.415686274509804
523.0,14.88552637,0.049,92.80589484,5.219607843137255
1680.0,15.64773706,0.0446,188.47224535,6.992156862745098
2620.0,18.38272835,0.048,1153.71711741,7.807843137254902
503.0,12.21781,0.035,295.5819,5.2745098039215685
729.0,11.99363,0.058,921.707,5.67843137254902
1.2,9.33708092,0.833,87.08498352,1.1572549019607845
1330.0,12.285064,0.03783,1369.8473,6.592156862745098
614.0,12.722215,0.02803,1938.763,5.431372549019608
669.0,12.408363,0.04127,1373.0256,5.549019607843137
36.2,1.84,0.0464,4.57,2.6745098039215685
40.3,7.22979255,0.163,147.15455244,2.756862745098039
2.28,12.18416202,0.1291,1379.37528638,3.1588235294117646
246.0,2.87,0.09103,16.9,4.450980392156863
232.0,2.265,0.052,10.15,4.223529411764706
62.9,2.587,0.06152,13.5,3.074509803921569
26.8,2.651,0.09429,2.5,2.4862745098039216
509.2,1.791,0.01159,9.95,5.188235294117647
532.0,14.57167491,0.0561,1064.72516345,6.776470588235294
928.0,2.46,0.033,8.9,6.031372549019608
78.1,3.56,0.04457,19.28,2.4790980392156863
30.0,13.32,0.07191,325.69,1.9517647058823528
132.0,9.19,0.0696,27.4,3.403921568627451
40.6,2.415,0.0287,6.28,2.756862745098039
6.06,2.91,0.387,1112.3994245,1.7254901960784315
1.93,3.65,0.1288,15.4,1.2925490196078433
53.6,1.738,0.03845,6.91,2.9568627450980394
60.3,1.694,0.03826,5.9,3.0392156862745097
442.0,1.21,0.0139,3.76,4.443137254901961
63.0,2.11,0.037,8.32,2.7254901960784315
196.0,3.01,0.049,8.1,3.7450980392156863
129.0,2.51,0.061,8.8,3.372549019607843
28.0,3.51,0.131,5.3,2.2980392156862743
11.0,3.78,0.211,14.8,1.811764705882353
