pl_name,hostname,pl_eqt,pl_rade,pl_orbsmax,pl_masse,st_teff,st_lum
HAT-P-63 b,HAT-P-63,1237.0,12.5428494,0.04294,195.1466419,5400.0,-0.1463
HAT-P-64 b,HAT-P-64,1766.0,19.08889413,0.05387,184.34047606,6457.0,0.66839
HAT-P-65 b,HAT-P-65,1818.0,18.05766791,0.04042,176.07693748,5872.0,0.47276
HAT-P-65 b,HAT-P-65,1930.0,21.18501,0.03951,167.49641,5835.0,0.55509
HAT-P-66 b,HAT-P-66,1896.0,17.82231,0.04363,248.86089,6002.0,0.6149
HAT-P-67 b,HAT-P-67,1903.0,23.370765,0.06505,108.0622,6406.0,0.93852
HAT-P-68 b,HAT-P-68,1027.8,12.016048,0.02996,230.10892,4508.0,-0.77911
HAT-P-69 b,HAT-P-69,1930.0,18.786284,0.06555,1137.8314,7394.0,1.0
HAT-P-7 b,HAT-P-7,2733.0,15.043,0.0377,564.442,6532.23,0.8142
HAT-P-70 b,HAT-P-70,2562.0,20.96083,0.04739,2154.8874,8450.0,1.22272
HAT-P-8 b,HAT-P-8,1700.0,16.81,0.0487,483.08,6200.0,0.519
HAT-P-9 b,HAT-P-9,1540.0,15.614137,0.05287,238.05467,6350.0,0.4183
HAT-P-9 b,HAT-P-9,1530.0,15.69,0.053,247.9,6350.0,0.41
HATS-1 b,HATS-1,1359.0,14.594,0.0444,589.55,5870.0,0.04139
HATS-10 b,HATS-10,1407.0,10.861521,0.04491,167.17858,5880.0,0.117
HATS-11 b,HATS-11,1637.0,16.92559,0.04614,270.1555,6060.0,0.40312
HATS-12 b,HATS-12,2097.0,15.13215,0.04795,756.4354,6408.0,0.86332
HATS-15 b,HATS-15,1505.0,12.385945,0.02712,689.6911,5311.0,-0.20412
HATS-16 b,HATS-16,1592.0,14.5717,0.03744,1039.3041,5738.0,0.17319
HATS-17 b,HATS-17,814.0,8.709393,0.1308,425.25654,5846.0,0.09342
HATS-18 b,HATS-18,2060.0,14.986433,0.01761,629.3034,5600.0,-0.03152
HATS-2 b,HATS-2,1577.0,13.092,0.023,427.463,5227.0,-0.268
HATS-22 b,HATS-22,858.0,10.682177,0.05025,870.8542,4803.0,-0.64589
